image_name,width,height,x0,y0,x1,y1
00002459.jpg,200,300,39,0,193,224
00001839.jpg,199,300,40,1,130,158
00003008.jpg,300,221,38,0,261,74
00001435.jpg,300,189,42,0,242,131
00002128.jpg,300,215,76,26,213,142
00001555.jpg,300,300,82,24,220,184
00001958.jpg,300,244,75,11,204,136
00003197.jpg,300,199,111,28,239,127
00002538.jpg,300,200,76,2,270,150
00003140.jpg,300,168,59,4,300,168
00001790.jpg,300,199,87,22,241,140
00001419.jpg,300,195,99,7,236,111
00000075.jpg,300,179,15,2,190,120
00002892.jpg,300,168,87,0,291,128
00002851.jpg,300,168,14,29,174,134
00000920.jpg,300,218,78,6,207,117
00003030.jpg,300,204,56,14,196,124
00001154.jpg,300,200,54,10,249,161
00002449.jpg,300,300,67,29,234,223
00003019.jpg,300,200,28,37,192,164
00002307.jpg,200,300,59,1,148,155
00001395.jpg,300,200,56,0,300,199
00002139.jpg,300,200,16,5,173,127
00002105.jpg,300,200,0,0,280,128
00002677.jpg,300,199,87,21,223,129
00002111.jpg,300,200,92,27,255,156
00003390.jpg,300,230,71,8,211,135
00000841.jpg,300,200,100,0,274,124
00001785.jpg,300,214,0,0,243,114
00003145.jpg,300,198,26,20,223,171
00002267.jpg,300,200,84,4,221,111
00002503.jpg,300,200,108,15,282,151
00001977.jpg,300,198,92,13,220,111
00002067.jpg,300,198,84,17,231,132
00000894.jpg,214,300,47,12,174,215
00001585.jpg,199,300,32,26,125,185
00002113.jpg,300,199,40,13,187,127
00002675.jpg,300,201,75,33,215,141
00001383.jpg,200,300,62,9,155,172
00002852.jpg,300,199,66,40,216,156
00001630.jpg,300,212,7,1,247,186
00002339.jpg,300,200,76,5,239,129
00001803.jpg,300,210,51,20,233,168
00001180.jpg,199,300,21,22,121,197
00001396.jpg,300,242,153,25,287,154
00001355.jpg,300,218,62,0,215,125
00000895.jpg,218,300,25,28,157,241
00001235.jpg,300,209,93,0,296,124
00002714.jpg,300,215,74,19,224,145
00002258.jpg,300,200,1,0,300,195
00001006.jpg,300,214,7,9,198,171
00002269.jpg,300,168,120,4,299,145
00001760.jpg,300,200,52,10,251,161
00001984.jpg,300,199,141,31,266,130
00002296.jpg,300,200,134,11,263,113
00001238.jpg,300,200,9,6,144,110
00002902.jpg,300,300,74,26,241,221
00002080.jpg,200,300,13,0,187,119
00002123.jpg,199,300,48,25,167,228
00002889.jpg,300,200,25,0,237,146
00000091.jpg,200,300,49,39,173,252
00001600.jpg,199,300,48,6,163,209
00001833.jpg,300,220,93,22,233,141
00001832.jpg,300,199,50,14,241,158
00002452.jpg,300,169,41,41,232,166
00002650.jpg,300,157,121,25,257,108
00003228.jpg,300,200,0,0,300,197
00001417.jpg,300,200,68,5,208,114
00001371.jpg,225,300,38,17,176,232
00001588.jpg,300,199,115,1,249,106
00000866.jpg,300,187,120,0,299,175
00000899.jpg,300,200,55,18,192,126
00001205.jpg,200,300,67,46,154,198
00001991.jpg,209,300,41,0,165,186
00001775.jpg,300,200,58,4,222,128
00002518.jpg,300,171,18,6,177,112
00003160.jpg,300,168,60,6,203,101
00001763.jpg,199,300,42,0,199,300
00002524.jpg,231,300,46,8,213,261
00000441.jpg,300,219,69,0,223,128
00001987.jpg,300,246,66,0,297,221
00003148.jpg,300,215,96,19,230,130
00002295.jpg,200,300,48,33,150,207
00001944.jpg,300,200,103,19,263,143
00001561.jpg,300,211,103,0,266,118
00003202.jpg,200,300,45,57,145,228
00000051.jpg,300,160,18,5,161,95
00000910.jpg,300,199,74,37,238,163
00001398.jpg,300,245,62,11,233,170
00002691.jpg,300,300,43,36,265,294
00001617.jpg,300,215,48,48,180,158
00002322.jpg,300,150,0,5,242,147
00002323.jpg,300,243,81,45,244,199
00002451.jpg,300,200,34,0,251,147
00001602.jpg,300,200,70,52,196,151
00002069.jpg,300,240,0,9,136,145
00002294.jpg,225,300,40,15,149,185
00001789.jpg,300,200,0,0,202,104
00001986.jpg,300,218,66,7,252,165
00002525.jpg,300,200,24,11,209,155
00003159.jpg,300,200,105,33,252,149
00001799.jpg,192,300,24,50,125,228
00002086.jpg,200,300,30,14,114,160
00002131.jpg,200,300,55,35,142,187
00002125.jpg,300,199,73,0,204,97
00002858.jpg,300,180,96,17,241,119
00001389.jpg,255,300,83,14,207,184
00001821.jpg,300,200,69,5,207,112
00001809.jpg,300,199,40,15,222,156
00001808.jpg,300,199,129,2,300,173
00003010.jpg,300,225,12,0,299,224
00001161.jpg,191,300,35,1,139,187
00002468.jpg,300,200,22,7,197,139
00002118.jpg,300,199,33,31,204,163
00002124.jpg,300,220,129,15,283,146
00000041.jpg,300,200,71,5,225,124
00002911.jpg,300,218,34,16,200,157
00002087.jpg,300,220,51,7,255,177
00002722.jpg,300,199,87,0,258,124
00001954.jpg,300,199,148,21,274,118
00001767.jpg,300,200,60,5,235,141
00001997.jpg,300,231,118,0,267,127
00002246.jpg,300,200,72,0,218,109
00002536.jpg,300,225,100,8,243,133
00000309.jpg,300,200,87,5,231,116
00001771.jpg,300,200,39,18,226,163
00003166.jpg,300,220,122,18,250,127
00001956.jpg,300,220,90,25,230,144
00002287.jpg,199,300,55,16,154,190
00002640.jpg,300,200,129,33,260,135
00002898.jpg,300,200,0,1,250,196
00002654.jpg,300,200,113,35,299,179
00001163.jpg,300,218,80,5,214,121
00003012.jpg,300,200,32,29,240,187
00002872.jpg,300,200,18,38,224,194
00000095.jpg,300,200,77,0,224,107
00001406.jpg,300,300,49,46,235,263
00000877.jpg,300,183,81,13,228,117
00000136.jpg,300,219,113,15,238,121
00002286.jpg,300,225,81,15,252,164
00001957.jpg,300,218,60,13,213,143
00001770.jpg,300,199,71,11,288,182
00001764.jpg,300,263,84,14,259,192
00001994.jpg,191,300,22,4,169,260
00003100.jpg,300,226,10,18,260,224
00001717.jpg,300,192,85,12,217,110
00001924.jpg,300,211,74,11,227,137
00002975.jpg,300,200,117,29,263,142
00000838.jpg,234,300,36,13,172,211
00000970.jpg,300,201,121,0,270,116
00000794.jpg,300,300,56,0,292,251
00001105.jpg,300,199,126,18,280,137
00001851.jpg,300,200,55,15,181,113
00001879.jpg,300,199,83,16,232,132
00001138.jpg,191,300,35,1,139,187
00001104.jpg,200,300,24,0,172,210
00000959.jpg,225,300,49,34,180,233
00002828.jpg,300,169,69,28,226,131
00003277.jpg,300,199,46,42,203,164
00000018.jpg,300,200,49,11,235,152
00001514.jpg,300,199,68,17,235,146
00001272.jpg,300,221,100,29,240,149
00001266.jpg,300,205,71,19,227,143
00002223.jpg,200,300,58,55,152,215
00000408.jpg,200,300,59,0,156,163
00002209.jpg,199,300,57,26,156,196
00002547.jpg,300,242,150,74,276,192
00002553.jpg,300,168,23,0,258,149
00001099.jpg,300,200,0,0,250,198
00000387.jpg,300,168,69,0,300,167
00000813.jpg,300,225,0,0,175,177
00002786.jpg,300,200,73,24,237,151
00003498.jpg,199,300,47,71,130,216
00002157.jpg,264,300,34,12,147,161
00000032.jpg,300,216,104,11,271,154
00001884.jpg,217,300,49,1,167,187
00001852.jpg,300,168,2,0,300,167
00000231.jpg,300,200,56,2,231,134
00001113.jpg,300,200,113,0,300,72
00003076.jpg,239,300,37,8,192,234
00001488.jpg,300,199,33,0,300,196
00000966.jpg,300,227,67,49,250,210
00002156.jpg,197,300,46,46,136,206
00001311.jpg,234,300,45,25,172,215
00001517.jpg,300,181,51,0,288,118
00001926.jpg,300,216,33,1,232,171
00002220.jpg,227,300,33,23,197,276
00001067.jpg,300,199,96,16,233,124
00002542.jpg,300,200,24,1,203,133
00002556.jpg,300,200,86,94,213,192
00001063.jpg,300,277,3,0,206,176
00001249.jpg,236,297,50,5,151,153
00002768.jpg,300,150,0,18,163,131
00002783.jpg,300,224,32,35,160,146
00000816.jpg,199,300,0,3,74,218
00000989.jpg,300,200,126,30,260,134
00001315.jpg,229,300,51,2,156,161
00003502.jpg,200,150,1,1,200,149
00001473.jpg,300,300,73,37,222,210
00000786.jpg,300,200,7,0,190,132
00000792.jpg,300,300,78,9,218,172
00000962.jpg,300,225,35,4,238,181
00002436.jpg,231,300,57,17,170,188
00001881.jpg,300,185,64,8,246,142
00001659.jpg,300,168,0,0,300,166
00001856.jpg,300,230,0,0,227,113
00002379.jpg,300,190,99,8,225,100
00002423.jpg,300,225,67,1,257,168
00000963.jpg,300,218,86,27,265,178
00000793.jpg,300,264,81,1,241,162
00001472.jpg,200,300,76,0,200,210
00000181.jpg,300,217,84,5,244,140
00002769.jpg,300,200,35,2,203,132
00003463.jpg,300,199,56,13,199,125
00000142.jpg,240,300,104,0,218,148
00002580.jpg,300,214,88,32,300,212
00002227.jpg,300,200,28,1,268,172
00002596.jpg,300,200,77,44,205,144
00001935.jpg,300,220,90,25,230,144
00002031.jpg,300,199,96,9,225,111
00003475.jpg,236,115,78,1,234,104
00001276.jpg,300,199,71,0,253,129
00000168.jpg,300,200,68,3,271,158
00001510.jpg,300,219,104,21,255,149
00001289.jpg,231,300,53,36,159,192
00002179.jpg,300,168,81,4,221,95
00001470.jpg,199,300,70,72,155,221
00001316.jpg,300,200,50,1,258,73
00001302.jpg,300,199,37,34,171,137
00001672.jpg,300,210,22,26,151,131
00003065.jpg,300,196,62,36,233,169
00002390.jpg,300,190,74,8,218,113
00002420.jpg,207,300,55,9,173,208
00000784.jpg,300,199,65,23,215,139
00000753.jpg,200,300,42,4,128,153
00002965.jpg,300,200,81,35,215,141
00003306.jpg,259,300,51,62,223,289
00002018.jpg,300,300,56,22,239,235
00000380.jpg,300,200,90,20,253,143
00003104.jpg,300,199,37,0,248,152
00003138.jpg,300,200,122,42,262,153
